DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CH,2014,100.84,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CH,2015,100.00,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CH,2016,99.47,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CH,2017,100.11,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CH,2018,101.03,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CH,2019,101.41,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CH,2020,100.56,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CH,2021,101.04,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CH,2022,103.74,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CY,2013,101.84,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CY,2014,101.57,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CY,2015,100.00,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CY,2016,98.78,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CY,2017,99.45,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CY,2018,100.23,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CY,2019,100.78,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CY,2020,99.67,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CY,2021,101.92,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CY,2022,110.17,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CZ,2013,99.3,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CZ,2014,99.8,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CZ,2015,100.0,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CZ,2016,100.7,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CZ,2017,103.1,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CZ,2018,105.1,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CZ,2019,107.8,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CZ,2020,111.4,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CZ,2021,115.1,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,CZ,2022,132.1,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DE,2013,98.6,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DE,2014,99.3,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DE,2015,100.0,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DE,2016,100.4,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DE,2017,102.1,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DE,2018,104.0,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DE,2019,105.5,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DE,2020,105.8,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DE,2021,109.2,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DE,2022,118.7,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DK,2013,99.4,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DK,2014,99.8,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DK,2015,100.0,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DK,2016,100.0,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DK,2017,101.1,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DK,2018,101.8,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DK,2019,102.5,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DK,2020,102.9,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DK,2021,104.9,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,DK,2022,113.8,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA,2013,99.38,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA,2014,99.81,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA,2015,100.00,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA,2016,100.23,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA,2017,101.78,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA,2018,103.56,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA,2019,104.80,
